num_provers,block_number,iteration,sync_time_ms,consensus_oracle_time_ms,execution_oracle_time_ms,memory_bytes,cpu_percent,network_bytes_in,network_bytes_out,timestamp
0,100,0,36,0,0,8836121032.746008,35.15,1153,388,2025-07-25T08:52:07+02:00
0,100,1,36,0,0,8836199885.301853,26.4,1153,388,2025-07-25T08:52:07+02:00
0,100,2,36,0,0,8836874512.72409,25.69,1153,388,2025-07-25T08:52:07+02:00
0,100,3,36,0,0,8837733129.443302,26.4,1551,388,2025-07-25T08:52:08+02:00
0,100,4,36,0,0,8834368753.72721,26.3,1153,388,2025-07-25T08:52:08+02:00
1,100,0,6631,0,0,8874057873.502981,23.56,1454408,432724,2025-07-25T08:52:15+02:00
1,100,1,6681,0,0,8869475663.868826,24.44,1454216,430643,2025-07-25T08:52:21+02:00
1,100,2,6680,0,0,8872699857.263412,22.68,1452423,432023,2025-07-25T08:52:28+02:00
1,100,3,20036,0,0,8813691861.305395,22.13,13057331,868487,2025-07-25T08:52:48+02:00
1,100,4,6678,0,0,8786689241.62572,23.74,1478577,438193,2025-07-25T08:52:55+02:00
2,100,0,20516,0,0,8827359637.652018,22.46,13066069,859555,2025-07-25T08:53:16+02:00
2,100,1,6584,0,0,8825064152.137392,23.99,1438525,428121,2025-07-25T08:53:22+02:00
2,100,2,6609,0,0,8825826393.51057,25.48,1438373,426627,2025-07-25T08:53:29+02:00
2,100,3,20104,0,0,8836112271.350914,22.99,13076880,871934,2025-07-25T08:53:49+02:00
2,100,4,23671,0,0,8829401042.708918,23.04,13068807,861614,2025-07-25T08:54:13+02:00
3,100,0,7472,0,0,8842096304.200108,23.16,1480479,459224,2025-07-25T08:54:21+02:00
3,100,1,7305,0,0,8850095457.920921,22.71,1460892,432012,2025-07-25T08:54:28+02:00
3,100,2,20158,0,0,8841500529.333717,21.96,13071171,874234,2025-07-25T08:54:49+02:00
3,100,3,20380,0,0,8836839467.143715,22.11,13063872,859096,2025-07-25T08:55:09+02:00
3,100,4,20360,0,0,8832581429.128036,21.69,13064145,857392,2025-07-25T08:55:30+02:00
4,100,0,7051,0,0,8839511692.64738,23.05,1447048,429187,2025-07-25T08:55:37+02:00
4,100,1,7439,0,0,8839056100.102493,22.25,1465791,435633,2025-07-25T08:55:44+02:00
4,100,2,20465,0,0,8810450145.120619,23.23,13074889,861258,2025-07-25T08:56:05+02:00
4,100,3,20492,0,0,8807094530.799622,21.9,13068149,867231,2025-07-25T08:56:25+02:00
4,100,4,20165,0,0,8843086341.84573,22.65,13069711,873456,2025-07-25T08:56:46+02:00
5,100,0,20770,0,0,8857025721.440266,22.69,13076227,872561,2025-07-25T08:57:07+02:00
5,100,1,20618,0,0,8857481313.985153,34.43,13079845,868053,2025-07-25T08:57:27+02:00
5,100,2,20644,0,0,8873190495.388676,35.09,13090949,871541,2025-07-25T08:57:48+02:00
5,100,3,20488,0,0,8869501948.054108,22.23,13077760,870296,2025-07-25T08:58:09+02:00
5,100,4,7232,0,0,8868301636.926231,25.5,1475661,435965,2025-07-25T08:58:16+02:00
0,1100,0,36,0,0,8864683180.752413,36.54,1160,391,2025-07-25T08:58:16+02:00
0,1100,1,36,0,0,8845705998.978832,34.4,1160,391,2025-07-25T08:58:16+02:00
0,1100,2,35,0,0,8844172754.837383,26.3,1160,391,2025-07-25T08:58:17+02:00
0,1100,3,39,0,0,8839362748.930784,25.47,1160,391,2025-07-25T08:58:17+02:00
0,1100,4,36,0,0,8840308979.600935,26.2,1160,391,2025-07-25T08:58:17+02:00
1,1100,0,20880,0,0,8862799480.807205,23.0,13081411,877111,2025-07-25T08:58:38+02:00
1,1100,1,20950,0,0,8878561230.581291,23.61,13082239,865869,2025-07-25T08:58:59+02:00
1,1100,2,7474,0,0,8878210774.777533,23.25,1458449,430095,2025-07-25T08:59:07+02:00
1,1100,3,21001,0,0,8885412641.544792,24.16,13082876,862744,2025-07-25T08:59:28+02:00
1,1100,4,20833,0,0,8885158561.087067,24.57,13082619,883150,2025-07-25T08:59:49+02:00
2,1100,0,52323,0,0,8927563713.341974,33.61,26150606,1731363,2025-07-25T09:00:41+02:00
2,1100,1,51796,0,0,8929000582.137388,38.6,26142142,1733634,2025-07-25T09:01:33+02:00
2,1100,2,30677,0,0,8934231135.008501,39.14,14494430,1304955,2025-07-25T09:02:04+02:00
2,1100,3,51380,0,0,8928536228.197407,38.64,26152020,1727033,2025-07-25T09:02:55+02:00
2,1100,4,31252,0,0,8946330621.6333,39.29,14634067,1378404,2025-07-25T09:03:27+02:00
3,1100,0,52209,0,0,8953734000.48772,39.14,26202933,1767375,2025-07-25T09:04:19+02:00
3,1100,1,38624,0,0,8947504648.575895,38.95,14532895,1293378,2025-07-25T09:04:58+02:00
3,1100,2,31871,0,0,8945910074.668789,39.129999999999995,14517079,1308495,2025-07-25T09:05:30+02:00
3,1100,3,39656,0,0,8957185990.154753,39.07,14548953,1304166,2025-07-25T09:06:10+02:00
3,1100,4,52315,0,0,8955021925.566538,38.68,26148956,1731284,2025-07-25T09:07:02+02:00
4,1100,0,38817,0,0,8958798086.852047,38.8,14528730,1294910,2025-07-25T09:07:41+02:00
4,1100,1,31604,0,0,8969031396.321827,38.79,14514048,1312568,2025-07-25T09:08:13+02:00
4,1100,2,52192,0,0,8965369133.172539,39.39,26189720,1734423,2025-07-25T09:09:05+02:00
4,1100,3,52178,0,0,8964817165.281618,38.61,26162921,1743715,2025-07-25T09:09:57+02:00
